Bill,Bill Long Title,Last Action Date,Year,Sponsor,Sponsor District,Co-Sponsor,Co-Sponsor District,Last Action,Last Activity Comments,General assembly,Session,Bill String,LR Number
HB 1077,Repeals peripheral zoning for Cameron.  ,6/27/00,2000,"Relford, Randall",6,,,Delivered to Secretary of State (G),,90,Second regular,HB 1077,2569L.01T
HB 1082,"Allows federal government to acquire land by eminent domain in this state for reforestation, recreational or agricultural uses only upon statutory approval by General Assembly.",7/13/00,2000,"Crump, Wayne",152,,,Delivered to Secretary of State (G),,90,Second regular,SS SCS HB 1082,2627S.06T
HB 1085,Exempts mental health residential facilities and day programs accredited by the Council on Accreditation from the licensing requirements of the Department of Health.,6/27/00,2000,"Selby, Harold",105,,,Delivered to Secretary of State (G),,90,Second regular,HB 1085,2476L.01T
HB 1097,Revises the law on trepass.  ,6/27/00,2000,"Hosmer, William",138,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1097,2378S.03T
HB 1101,Appropriates money to the Board of Fund Commissioners for the cost of issuing and processing certain bonds. ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,SCS HCS HB 1101,3982S.03T
HB 1102,Appropriates money for the State Board of Education and the Department of Elementary and Secondary Education. ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1102,3983L.04T
HB 1103,Appropriates money for the Department of Higher Education.  ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1103,3984L.04T
HB 1104,Appropriates money for the Department of Revenue and the Department of Highways and Transportation. ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1104,3985L.04T
HB 1105,"Appropriates money for the Office of Administration, the Department of Transportation, and the Chief Executive's Office. ",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1105,3986L.04T
HB 1106,"Appropriates money for the Department of Agriculture, Department of Natural Resources, and the Department of Conservation. ",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1106,3987L.04T
HB 1107,"Appropriates money for the Department of Economic Development, Department of Insurance and the Department of Labor and Industrial Relations.",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1107,3988L.04T
HB 1108,Appropriates money for the Department of Public Safety.  ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1108,3989L.04T
HB 1109,Appropriates money for the Department of Corrections.  ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1109,3990L.04T
HB 1110,"Appropriates money for the Department of Mental Health, the Board of Public Buildings and the Department of Health. ",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS#2 SCS HCS HB 1110,3991L.05T
HB 1111,Appropriates money for the Department of Social Services.  ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1111,3992L.04T
HB 1112,"Appropriates money for the Offices of the Governor, Lt. Governor, Secretary of State, Auditor, Treasurer, Attorney General, certain attorneys, General Assembly and other appointed officers.",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1112,3993L.04T
HB 1113,"Appropriates money for real property leases, related services, utilities, and systems furniture. ",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,SCS HCS HB 1113,3994S.03T
HB 1114,Appropriates money for supplemental purposes for the several departments and offices of state government. ,3/2/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,HCS HB 1114,3995L.02T
HB 1120,"Appropriates money for planning, expenses, lease-purchases, and for capital improvements, including but not limited to major additions and renovations, new structures and land improvements.",6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1120,4001L.04T
HB 1121,Reappropriates certain moneys from prior fiscal year.  ,6/28/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1121,4002S.02T
HB 1122,Appropriates money for supplemental purposes for several departments and offices of state government. ,6/16/00,2000,"Franklin, J.",53,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1122,4003S.02T
HB 1142,"Repeals $100 permit fee for oversized loads of farmers, revises length limits on certain motor vehicles, and requires agricultural and lawn inventory repurchase on termination of a dealership.",6/27/00,2000,"Ransdall, Billy",148,"Hampton, Mark",147,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HCS HB 1142,2541L.06T
HB 1185,Authorizes Governor to convey certain property in Cole and Audrain counties. ,6/27/00,2000,"Gratz, William",113,"Vogel, Carl",206,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1185,2506S.02T
HB 1186,Authorizes Governor to convey certain property in Cole County which is part of Church Farm Correctional Facility. ,6/27/00,2000,"Gratz, William",113,"Vogel, Carl",206,Delivered to Secretary of State (G),,90,Second regular,HB 1186,2507L.01T
HB 1238,"Revises the law on property tax, enacts several local government provisions, and enacts the Community Comeback Act. ",6/27/00,2000,"Hoppe, Thomas",46,"VanZandt, Timothy",38,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HS HB 1238,2629S.15T
HB 1284,Allows additional compensation for ambulance district board members.  ,6/27/00,2000,"Kissell, Don",17,,,Delivered to Secretary of State (G),,90,Second regular,HB 1284,2870L.01T
HB 1289,Expands the list of interested persons for distribution of accident reports. ,6/27/00,2000,"Auer, Ron",59,,,Delivered to Secretary of State (G),,90,Second regular,HB 1289,3203L.01T
HB 1321,Enacts the Interstate Compact for Adult Offender Supervision.  ,6/27/00,2000,"Relford, Randall",6,"Crump, Wayne",150,Delivered to Secretary of State (G),,90,Second regular,HB 1321,3251L.01T
HB 1353,Requires the release to certain persons of coroner's reports and alcohol and drug tests on persons killed in automobile accidents without a subpoena.,6/27/00,2000,"Farnen, Theodore",21,,,Delivered to Secretary of State (G),,90,Second regular,HB 1353,3392L.02T
HB 1363,Enacts the Midwest Interstate Passenger Rail Compact and repeals the Interstate High Speed Intercity Rail Passenger Network Compact. ,6/27/00,2000,"Bray, Joan",84,"Wilson, Victoria",25,Delivered to Secretary of State (G),,90,Second regular,HB 1363,2806L.02T
HB 1376,Allows the tour of state facilities by new members of the General Assembly to be any time of the year. ,6/27/00,2000,"Farnen, Theodore",21,,,Delivered to Secretary of State (G),,90,Second regular,HB 1376,3460L.02T
HB 1386,Creates the crime of financial exploitation of an elderly or disabled person. ,6/27/00,2000,"Britt, Phillip",163,"Farnen, Theodore",21,Delivered to Secretary of State (G),,90,Second regular,HCS HB 1386 & 1086,2490S.09C
HB 1396,Makes various changes to law regarding student representatives on college and university boards and establishes spinal cord injury research program at the University of Missouri.,7/13/00,2000,"Farnen, Theodore",21,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1396,3485S.03T
HB 1428,Establishes a memorial on the Capitol grounds for workers killed or injured on the job in the state. ,7/12/00,2000,"Hickey, John",80,"Secrest, Patricia",93,Delivered to Secretary of State (G),,90,Second regular,HB 1428,3364L.02T
HB 1434,Regulates amusement rides.  ,6/27/00,2000,"Skaggs, Billy",31,,,Delivered to Secretary of State (G),,90,Second regular,HCS HB 1434,3442L.03T
HB 1452,Exempts restitution received by victims of the Nazi Holocaust from state income tax. ,6/8/00,2000,"Foley, James",81,"Levin, David",82,Delivered to Secretary of State (G),,90,Second regular,SS SCS HB 1452,3698S.06T
HB 1454,"Defines the term ""cotton linters"" to include wood pulp and other plant fibers used to create flexible cellulose casing. ",6/27/00,2000,"Hoppe, Thomas",46,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1454,3047L.03T
HB 1486,Allows community college maintenance and repair funds to be used for salaries on approved maintenance and repair projects. ,6/27/00,2000,"Abel, Mark",103,"Selby, Harold",105,Delivered to Secretary of State (G),,90,Second regular,HB 1486,3506L.01T
HB 1509,Revises unlawful merchandising practices.  ,6/27/00,2000,"Hosmer, William",138,,,Delivered to Secretary of State (G),,90,Second regular,HB 1509,3626L.01T
HB 1544,Changes permitted distributions for not-for-profit corporations formed to provide liability insurance for political subdivisions. ,6/27/00,2000,"Smith, Philip",11,,,Delivered to Secretary of State (G),,90,Second regular,HB 1544,3678L.01T
HB 1568,Adds certain blood tests for pregnant women and establishes Office on Women's Health. ,6/27/00,2000,"Wilson, Victoria",25,"Holand, Roy",135,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1568,3901S.02T
HB 1591,Limits penalty on failure to renew a nursing home administrator's license. ,6/27/00,2000,"Backer, Gracia",20,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1591,3511S.03T
HB 1596,Designates which financial institutions may hold certain assets not exclusively controlled by insurance companies. ,7/13/00,2000,"Auer, Ron",59,,,Delivered to Secretary of State (G),,90,Second regular,HB 1596,3877L.01T
HB 1604,"Authorizes the Governor to convey certain state property in St. Francois, Audrain, Greene, Vernon, and Buchanan counties. ",6/27/00,2000,"Graham, James",106,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1604,3934S.02T
HB 1631,Changes the liquor control law.  ,6/27/00,2000,"Hoppe, Thomas",46,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1631,3840L.02P
HB 1647,Allows the city of North Kansas City to establish reserve funds.  ,6/27/00,2000,"Skaggs, Billy",31,,,Delivered to Secretary of State (G),,90,Second regular,HB 1647,4046L.01P
HB 1659,"Authorizes an economic development sales tax in Kirksville, authorizes tourism taxes in several counties and cities, and makes collectors of tourism taxes personally liable.",6/27/00,2000,"Summers, Don",2,"Berkowitz, Sam",1,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1659,3781S.03C
HB 1677,Makes various changes relating to domestic violence.  ,7/11/00,2000,"Wilson, Victoria",25,"Luetkenhaus, William",12,Delivered to Secretary of State (G),,90,Second regular,"SCS HS HCS HB 1677, 1675 & 1676",2859S.07T
HB 1739,"Alllows insurance companies to invest capital, reserve and surplus in federal home banks. ",6/27/00,2000,"Auer, Ron",59,,,Delivered to Secretary of State (G),,90,Second regular,SCS HB 1739,4028S.02T
HB 1742,Authorizes the Highways and Transportation Commission to issue $2.25 billion in bonds for highway construction upon review of construction plans by the General Assembly.,5/30/00,2000,"Gaw, Steve",22,"Koller, Don",148,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HS HCS HB 1742,4024L.14T
HB 1797,"Revises the Motorist Insurance Identification Database Law, revises motor vehicle provisions, and authorizes several new specialized license plates.",7/12/00,2000,"Gratz, William",113,"Gaw, Steve",22,Delivered to Secretary of State (G),,90,Second regular,SS HS HCS HB 1797,3914S.14F
HB 1802,Allows mortgage insurance for up to one hundred percent of the market value of the property. ,6/27/00,2000,"Monaco, Ralph",49,"Liese, Chris",85,Delivered to Secretary of State (G),,90,Second regular,HB 1802,3971L.01T
HB 1808,Revises retirement systems.  ,5/30/00,2000,"O'Toole, James",68,,,Delivered to Secretary of State (G),,90,Second regular,CCS SS SCS HB 1808,4175L.09S
HB 1848,Exempts certain persons from the seven-year requirement for the licensure examination for physicians and surgeons and allows certain persons to apply for licensure as perfusionists.,6/27/00,2000,"Treadway, Joseph",96,,,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HB 1848,3673L.04T
HB 1948,"Allows the issuance of special moving permits for concrete pump trucks and well-drilling equipment and regulates use of ""dromedaries."" ",6/27/00,2000,"Gratz, William",113,"Scott, Delbert",118,Delivered to Secretary of State (G),,90,Second regular,CCS SCS HB 1948,4132L.06T
HB 1967,Corrects St. Louis Boundary Commission Law and allows fire protection districts in St. Louis County to contract for fire protection services.,6/27/00,2000,"Hoppe, Thomas",46,"Foley, James",81,Delivered to Secretary of State (G),,90,Second regular,HCS HB 1967,3871L.04T
SB 540,Creates the State Fair Fee Fund.  ,6/27/00,2000,"Mathewson, James",221,,,Delivered to Secretary of State (G),,90,Second regular,SCS SB 540,2533S.02C
SB 542,Changes the compensation of public administrators.  ,6/27/00,2000,"Mathewson, James",221,,,Delivered to Secretary of State (G),,90,Second regular,HS HCS SCS SB 542,2312L.06F
SB 557,"Allows all housing authorities, except St. Louis, Kansas City and others, to appoint an additional commissioner in certain cases. ",6/27/00,2000,"Mueller, Walt",215,,,Delivered to Secretary of State (G),,90,Second regular,SCS SB 557,2973S.02C
SB 573,Revises repayment of state school aid overpayemnt for Francis Howell School District. ,5/30/00,2000,"House, Ted",20,,,Delivered to Secretary of State (G),,90,Second regular,SB 573,2514S.05C
SB 577,"Establishes program for drycleaning solvent management, restructures hazardous waste generator fees, and authorizes a loan program for lead abatement projects.",6/27/00,2000,"Maxwell, Joe",218,,,Delivered to Secretary of State (G),,90,Second regular,HCS SS SCS SB 577,2745L.12C
SB 719,Revises the Kansas and Missouri Metropolitan Culture District.  ,6/15/00,2000,"Wiggins, Harry",210,,,Delivered to Secretary of State (G),,90,Second regular,HCS SCS SB 719,3130L.04C
SB 721,Revises law on telecommunications for persons with disabilities.  ,6/29/00,2000,"Caskey, Harold",231,,,Delivered to Secretary of State (G),,90,Second regular,HCS SCS SB 721,2918L.06C
SB 724,Authorizes tourism taxes in certain counties and cities.  ,6/27/00,2000,"Rohrbach, Larry",206,,,Delivered to Secretary of State (G),,90,Second regular,HS HCS SB 724,2515L.09F
SB 741,Authorizes bonds for water pollution and stormwater control and extends and revises water pollution permit fees. ,6/27/00,2000,"Maxwell, Joe",218,,,Delivered to Secretary of State (G),,90,Second regular,HCS SB 741,3132S.06S
SB 757,Revises various child protection laws.  ,7/13/00,2000,"Maxwell, Joe",218,,,Delivered to Secretary of State (G),,90,Second regular,HS HCS SS#2 SCS SB 757 & 602,3145L.14C
SB 763,Regulates unsolicited telephone sales calls.  ,6/27/00,2000,"Howard, J",156,,,Delivered to Secretary of State (G),,90,Second regular,CCS HCS SS SCS SB 763,3153S.20T
SB 788,"Amends the ""whistleblower"" statute governing state employees and employees of hospitals and ambulatory surgical centers. ",7/13/00,2000,"Johnson, Sidney",234,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS HCS SB 788,3148S.11T
SB 810,"Extends the hospital federal reimbursement allowance to September 30, 2001. ",6/27/00,2000,"Goode, Wayne",213,,,Delivered to Secretary of State (G),,90,Second regular,SB 810,3738S.01T
SB 867,Revises certain provisions of the law relating to Certified Capital Companies. ,7/13/00,2000,"Maxwell, Joe",218,,,Delivered to Secretary of State (G),,90,Second regular,HS SS SCS SB 867 & 552,3852L.12T
SB 881,Revises law on Kansas City and St. Louis transportation sales tax.  ,6/27/00,2000,"Wiggins, Harry",210,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS HCS SB 881,4047L.06T
SB 885,Makes several revisions in the Missouri Consolidated Health Care Plan.  ,6/27/00,2000,"Mathewson, James",221,,,Delivered to Secretary of State (G),,90,Second regular,SS SCS SB 885,3801L.10C
SB 892,Requires the state to pay counties for health care costs of state prisoners. ,7/13/00,2000,"Quick, Edward",217,,,Delivered to Secretary of State (G),,90,Second regular,HS SB 892,3156L.03T
SB 894,"Revises law on property tax, county government, title insurance, and Missouri agricultural products. ",7/13/00,2000,"Quick, Edward",217,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS HCS SCS SB 894,4095L.11S
SB 896,Revises law on business organizations.  ,6/27/00,2000,"Klarich, David",94,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS HCS SB 896,2777S.13T
SB 902,Revises gaming laws.  ,6/27/00,2000,"Mathewson, James",221,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS HCS SS SB 902,4122S.11S
SB 921,Makes changes in the State Board of Registration for the Healing Arts.  ,7/13/00,2000,"Scott, John",203,,,Delivered to Secretary of State (G),,90,Second regular,SB 921,4270S.01T
SB 944,Enacts various school safety provisions.  ,6/29/00,2000,"Caskey, Harold",231,,,Delivered to Secretary of State (G),,90,Second regular,CCS#2 HCS SB 944,4297S.07T
SB 961,"Revises National Guard Scholarship Program, recognizes World War II veterans, and allows the POW/MIA flag at all state buildings. ",7/12/00,2000,"Stoll, Steve",222,"Maxwell, Joe",15,Delivered to Secretary of State (G),,90,Second regular,CCS HS SB 961,4332L.03F
SB 1001,Repeals expired provisions of law.  ,6/27/00,2000,"Wiggins, Harry",210,,,Delivered to Secretary of State (G),,90,Second regular,SB 1001,4466L.01T
SB 1002,Revision bill.  ,6/27/00,2000,"Wiggins, Harry",210,,,Delivered to Secretary of State (G),,90,Second regular,SB 1002,4463L.01T
SB 1053,Requires law enforcement agencies to prohibit racial profiling practices and report statistics. ,6/5/00,2000,"Goode, Wayne",213,,,Delivered to Secretary of State (G),,90,Second regular,CCS HS SB 1053,4627S.11S
SJR 35,Proposes a constitutional amendment to revise the Citizens' Commission on Compensation of Elected Officials. ,5/18/00,2000,"Goode, Wayne",213,,,Delivered to Governor,,90,Second regular,CCS HCS SS SS#3 SJR 35,2407S.19S
SJR 50,Proposes a constitutional amendment to allow a person to participate in the management of bingo six months after joining the organization sponsoring the bingo games.,5/18/00,2000,"Stoll, Steve",222,,,Delivered to Governor,,90,Second regular,SJR 50,3862S.01T
HB 1,Appropriates money to the Board of Fund Commissioners for the cost of issuing and processing State Water Pollution. ,6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,HB 1,0001L.01T
HB 2,"Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and of the Department of Elementary and Secondary Education.",9/12/01,2001,"Green, Tim",73,"Hegeman, Daniel",6,Failed to Pass over Veto (H),AYES:  84                                         NOES:  62,91,First regular,CCS SCS HCS HB 2,0002L.04T
HB 3,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and the several divisions, programs, and institutions of higher education.",6/22/01,2001,"Green, Tim",73,"Naeger, Patrick",155,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 3,0003L.04T
